# generated by tm_en_gh [RWA]; det_c =  200.000 MHz, det_1 =    0.000 MHz, det_2 = -100.000 MHz, alpha_1 =  -290.00 MHz, alpha_2 =  -310.00 MHz, J_qubit =     0.00 MHz, g_1 =    70.00 MHz, g_2 =    70.00 MHz, gamma_1 =     0.01 MHz, gamma_2 =     0.01 MHz, kappa =     0.05 MHz
#    row  column           Re.value [GHz]           Im.value [GHz]      i,  j,  n (row)          i,  j,  n (col)
      66      71   1.5652475842498526E-01   0.0000000000000000E+00      2      0      5          2      1      4
      66      95   2.7110883423451915E-01   0.0000000000000000E+00      2      0      5          3      0      4
      67      67  -3.8999999999999985E-01  -1.8000000000000000E-05      2      1      0          2      1      0
      67      91   0.0000000000000000E+00   0.0000000000000000E+00      2      1      0          3      0      0
      68      68  -1.8999999999999939E-01  -4.3000000000000002E-05      2      1      1          2      1      1
      68      73   9.8994949366116650E-02   0.0000000000000000E+00      2      1      1          2      2      0
      68      92   0.0000000000000000E+00   0.0000000000000000E+00      2      1      1          3      0      1
      68      97   1.2124355652982138E-01   0.0000000000000000E+00      2      1      1          3      1      0
      69      69   1.0000000000001077E-02  -6.7999999999999999E-05      2      1      2          2      1      2
      69      74   1.3999999999999999E-01   0.0000000000000000E+00      2      1      2          2      2      1
      69      93   0.0000000000000000E+00   0.0000000000000000E+00      2      1      2          3      0      2
      69      98   1.7146428199482242E-01   0.0000000000000000E+00      2      1      2          3      1      1
      70      70   2.1000000000000155E-01  -9.3000000000000011E-05      2      1      3          2      1      3
      70      75   1.7146428199482242E-01   0.0000000000000000E+00      2      1      3          2      2      2
      70      94   0.0000000000000000E+00   0.0000000000000000E+00      2      1      3          3      0      3
      70      99   2.0999999999999994E-01   0.0000000000000000E+00      2      1      3          3      1      2
      71      71   4.1000000000000197E-01  -1.1800000000000001E-04      2      1      4          2      1      4
      71      76   1.9798989873223330E-01   0.0000000000000000E+00      2      1      4          2      2      3
      71      95   0.0000000000000000E+00   0.0000000000000000E+00      2      1      4          3      0      4
      71     100   2.4248711305964277E-01   0.0000000000000000E+00      2      1      4          3      1      3
      72      72   6.1000000000000243E-01  -5.0000179999999999E+00      2      1      5          2      1      5
      72      77   2.2135943621178653E-01   0.0000000000000000E+00      2      1      5          2      2      4
      72      96   0.0000000000000000E+00   0.0000000000000000E+00      2      1      5          3      0      5
      72     101   2.7110883423451915E-01   0.0000000000000000E+00      2      1      5          3      1      4
      73      73  -7.9999999999999982E-01  -2.4000000000000001E-05      2      2      0          2      2      0
      73      97   0.0000000000000000E+00   0.0000000000000000E+00      2      2      0          3      1      0
      74      74  -5.9999999999999920E-01  -4.8999999999999998E-05      2      2      1          2      2      1
      74      79   1.2124355652982138E-01   0.0000000000000000E+00      2      2      1          2      3      0
      74      98   0.0000000000000000E+00   0.0000000000000000E+00      2      2      1          3      1      1
      74     103   1.2124355652982138E-01   0.0000000000000000E+00      2      2      1          3      2      0
      75      75  -3.9999999999999880E-01  -7.4000000000000010E-05      2      2      2          2      2      2
      75      80   1.7146428199482242E-01   0.0000000000000000E+00      2      2      2          2      3      1
      75      99   0.0000000000000000E+00   0.0000000000000000E+00      2      2      2          3      1      2
      75     104   1.7146428199482242E-01   0.0000000000000000E+00      2      2      2          3      2      1
      76      76  -1.9999999999999829E-01  -9.9000000000000008E-05      2      2      3          2      2      3
      76      81   2.0999999999999994E-01   0.0000000000000000E+00      2      2      3          2      3      2
      76     100   0.0000000000000000E+00   0.0000000000000000E+00      2      2      3          3      1      3
      76     105   2.0999999999999994E-01   0.0000000000000000E+00      2      2      3          3      2      2
      77      77   2.1770347895367100E-15  -1.2400000000000001E-04      2      2      4          2      2      4
      77      82   2.4248711305964277E-01   0.0000000000000000E+00      2      2      4          2      3      3
      77     101   0.0000000000000000E+00   0.0000000000000000E+00      2      2      4          3      1      4
      77     106   2.4248711305964277E-01   0.0000000000000000E+00      2      2      4          3      2      3
      78      78   2.0000000000000265E-01  -5.0000239999999998E+00      2      2      5          2      2      5
      78      83   2.7110883423451915E-01   0.0000000000000000E+00      2      2      5          2      3      4
      78     102   0.0000000000000000E+00   0.0000000000000000E+00      2      2      5          3      1      5
      78     107   2.7110883423451915E-01   0.0000000000000000E+00      2      2      5          3      2      4
      79      79  -1.5199999999999996E+00  -2.8500000000000002E-05      2      3      0          2      3      0
      79     103   0.0000000000000000E+00   0.0000000000000000E+00      2      3      0          3      2      0
      80      80  -1.3199999999999992E+00  -5.3499999999999999E-05      2      3      1          2      3      1
      80      85   1.3999999999999999E-01   0.0000000000000000E+00      2      3      1          2      4      0
      80     104   0.0000000000000000E+00   0.0000000000000000E+00      2      3      1          3      2      1
      80     109   1.2124355652982138E-01   0.0000000000000000E+00      2      3      1          3      3      0
      81      81  -1.1199999999999986E+00  -7.8500000000000011E-05      2      3      2          2      3      2
      81      86   1.9798989873223330E-01   0.0000000000000000E+00      2      3      2          2      4      1
      81     105   0.0000000000000000E+00   0.0000000000000000E+00      2      3      2          3      2      2
      81     110   1.7146428199482242E-01   0.0000000000000000E+00      2      3      2          3      3      1
      82      82  -9.1999999999999815E-01  -1.0350000000000001E-04      2      3      3          2      3      3
      82      87   2.4248711305964277E-01   0.0000000000000000E+00      2      3      3          2      4      2
      82     106   0.0000000000000000E+00   0.0000000000000000E+00      2      3      3          3      2      3
      82     111   2.0999999999999994E-01   0.0000000000000000E+00      2      3      3          3      3      2
      83      83  -7.1999999999999764E-01  -1.2850000000000001E-04      2      3      4          2      3      4
      83      88   2.7999999999999997E-01   0.0000000000000000E+00      2      3      4          2      4      3
      83     107   0.0000000000000000E+00   0.0000000000000000E+00      2      3      4          3      2      4
      83     112   2.4248711305964277E-01   0.0000000000000000E+00      2      3      4          3      3      3
      84      84  -5.1999999999999713E-01  -5.0000285000000000E+00      2      3      5          2      3      5
      84      89   3.1304951684997051E-01   0.0000000000000000E+00      2      3      5          2      4      4
      84     108   0.0000000000000000E+00   0.0000000000000000E+00      2      3      5          3      2      5
      84     113   2.7110883423451915E-01   0.0000000000000000E+00      2      3      5          3      3      4
      85      85  -2.5499999999999994E+00  -5.0000119999999999E+00      2      4      0          2      4      0
      85     109   0.0000000000000000E+00   0.0000000000000000E+00      2      4      0          3      3      0
      86      86  -2.3499999999999988E+00  -5.0000369999999998E+00      2      4      1          2      4      1
      86     110   0.0000000000000000E+00   0.0000000000000000E+00      2      4      1          3      3      1
      86     115   1.2124355652982138E-01   0.0000000000000000E+00      2      4      1          3      4      0
      87      87  -2.1499999999999981E+00  -5.0000619999999998E+00      2      4      2          2      4      2
      87     111   0.0000000000000000E+00   0.0000000000000000E+00      2      4      2          3      3      2
      87     116   1.7146428199482242E-01   0.0000000000000000E+00      2      4      2          3      4      1
      88      88  -1.9499999999999977E+00  -5.0000869999999997E+00      2      4      3          2      4      3
      88     112   0.0000000000000000E+00   0.0000000000000000E+00      2      4      3          3      3      3
      88     117   2.0999999999999994E-01   0.0000000000000000E+00      2      4      3          3      4      2
      89      89  -1.7499999999999973E+00  -5.0001119999999997E+00      2      4      4          2      4      4
      89     113   0.0000000000000000E+00   0.0000000000000000E+00      2      4      4          3      3      4
      89     118   2.4248711305964277E-01   0.0000000000000000E+00      2      4      4          3      4      3
      90      90  -1.5499999999999969E+00  -1.0000012000000000E+01      2      4      5          2      4      5
      90     114   0.0000000000000000E+00   0.0000000000000000E+00      2      4      5          3      3      5
      90     119   2.7110883423451915E-01   0.0000000000000000E+00      2      4      5          3      4      4
      91      91  -8.6999999999999988E-01  -1.6500000000000001E-05      3      0      0          3      0      0
      92      92  -6.6999999999999948E-01  -4.1500000000000006E-05      3      0      1          3      0      1
      92      97   6.9999999999999993E-02   0.0000000000000000E+00      3      0      1          3      1      0
      92     121   1.3999999999999999E-01   0.0000000000000000E+00      3      0      1          4      0      0
      93      93  -4.6999999999999897E-01  -6.6500000000000004E-05      3      0      2          3      0      2
      93      98   9.8994949366116650E-02   0.0000000000000000E+00      3      0      2          3      1      1
      93     122   1.9798989873223330E-01   0.0000000000000000E+00      3      0      2          4      0      1
      94      94  -2.6999999999999846E-01  -9.1500000000000001E-05      3      0      3          3      0      3
      94      99   1.2124355652982138E-01   0.0000000000000000E+00      3      0      3          3      1      2
      94     123   2.4248711305964277E-01   0.0000000000000000E+00      3      0      3          4      0      2
      95      95  -6.9999999999998008E-02  -1.1650000000000001E-04      3      0      4          3      0      4
      95     100   1.3999999999999999E-01   0.0000000000000000E+00      3      0      4          3      1      3
      95     124   2.7999999999999997E-01   0.0000000000000000E+00      3      0      4          4      0      3
      96      96   1.3000000000000247E-01  -5.0000165000000001E+00      3      0      5          3      0      5
      96     101   1.5652475842498526E-01   0.0000000000000000E+00      3      0      5          3      1      4
      96     125   3.1304951684997051E-01   0.0000000000000000E+00      3      0      5          4      0      4
      97      97  -9.6999999999999975E-01  -2.2500000000000001E-05      3      1      0          3      1      0
      97     121   0.0000000000000000E+00   0.0000000000000000E+00      3      1      0          4      0      0
